t,tf_t,x,y,theta,yaw_deg,reason
1781701566.828409,1781701566.791315,-2.036809,1.718757,-0.043512,-2.493,distance
1781701567.078382,1781701567.041032,-2.016284,1.717888,-0.040743,-2.334,distance
1781701567.578423,1781701567.541031,-2.003501,1.719459,-0.041965,-2.404,time
1781701568.078491,1781701568.041424,-2.003501,1.719459,-0.041749,-2.392,time
1781701568.578510,1781701568.540972,-2.003501,1.719459,-0.041603,-2.384,time
1781701569.128481,1781701569.091050,-2.003501,1.719459,-0.041483,-2.377,time
1781701569.628508,1781701569.591030,-2.003501,1.719459,-0.041405,-2.372,time
1781701570.129096,1781701570.091036,-2.003501,1.719459,-0.041308,-2.367,time
1781701570.678405,1781701570.641035,-2.003501,1.719459,-0.041115,-2.356,time
1781701571.178690,1781701571.141038,-2.003501,1.719459,-0.040998,-2.349,time
1781701571.728429,1781701571.693331,-2.003501,1.719459,-0.040941,-2.346,time
1781701572.278381,1781701572.241191,-1.989256,1.718889,-0.038944,-2.231,time
1781701572.578433,1781701572.541135,-1.966803,1.718046,-0.036179,-2.073,distance
1781701572.885640,1781701572.841325,-1.944476,1.717108,-0.038851,-2.226,distance
1781701573.134796,1781701573.091076,-1.921850,1.716258,-0.035686,-2.045,distance
1781701573.378584,1781701573.341082,-1.900146,1.715512,-0.032402,-1.856,distance
1781701573.728459,1781701573.694984,-1.875016,1.713254,-0.032363,-1.854,distance
1781701574.078347,1781701574.041217,-1.853718,1.712462,-0.054332,-3.113,distance
1781701574.478406,1781701574.441082,-1.832057,1.714330,-0.076738,-4.397,distance
1781701574.781404,1781701574.741184,-1.809433,1.713344,-0.113570,-6.507,distance
1781701575.078826,1781701575.041159,-1.786504,1.710444,-0.149936,-8.591,distance
1781701575.428412,1781701575.395504,-1.763836,1.709155,-0.186648,-10.694,distance
1781701575.728343,1781701575.694263,-1.736969,1.706023,-0.218223,-12.503,distance
1781701576.028528,1781701575.991772,-1.713927,1.700566,-0.254508,-14.582,distance
1781701576.328392,1781701576.292157,-1.693745,1.698398,-0.277810,-15.917,distance
1781701576.678423,1781701576.641308,-1.668534,1.692342,-0.308436,-17.672,distance
